age,goals,pct,type,season
18,175,1.2686675366101203,Нападающие,all
19,1340,9.714368566043207,Нападающие,all
20,3196,23.16949398289111,Нападающие,all
21,5619,40.735102218355806,Нападающие,all
22,9170,66.4781789183703,Нападающие,all
23,11422,82.8041177323474,Нападающие,all
24,13491,97.80339277946933,Нападающие,all
25,12690,91.9965202261853,Нападающие,all
26,13061,94.68609540379876,Нападающие,all
27,13794,100.0,Нападающие,all
28,12465,90.36537625054372,Нападающие,all
29,10708,77.62795418297812,Нападающие,all
30,9543,69.18225315354502,Нападающие,all
31,9038,65.52124111932724,Нападающие,all
32,6882,49.891257068290564,Нападающие,all
33,5680,41.17732347397419,Нападающие,all
34,4798,34.78323908945919,Нападающие,all
35,3737,27.091489053211543,Нападающие,all
36,2491,18.058576192547484,Нападающие,all
37,1624,11.773234739741916,Нападающие,all
38,1095,7.938234014789039,Нападающие,all
39,709,5.139915905466145,Нападающие,all
40,474,3.436276642018269,Нападающие,all
41,231,1.674641148325359,Нападающие,all
42,133,0.9641873278236914,Нападающие,all
43,75,0.5437146585471945,Нападающие,all
44,34,0.2464839785413948,Нападающие,all
45,16,0.11599246049006816,Нападающие,all
46,1,0.00724952878062926,Нападающие,all
19,216,8.578236695790311,Защитники,all
20,424,16.838760921366163,Защитники,all
21,851,33.79666401906275,Защитники,all
22,1351,53.65369340746624,Защитники,all
23,1756,69.73788721207306,Защитники,all
24,2190,86.97378872120731,Защитники,all
25,2518,100.0,Защитники,all
26,2408,95.63145353455124,Защитники,all
27,2175,86.3780778395552,Защитники,all
28,2126,84.43208895949167,Защитники,all
29,2165,85.98093725178714,Защитники,all
30,1735,68.90389197776013,Защитники,all
31,1403,55.71882446386021,Защитники,all
32,1268,50.35742652899127,Защитники,all
33,1049,41.66004765687053,Защитники,all
34,945,37.52978554408261,Защитники,all
35,716,28.435266084193806,Защитники,all
36,436,17.31532962668785,Защитники,all
37,321,12.748212867355043,Защитники,all
38,228,9.054805401111993,Защитники,all
39,129,5.123113582208102,Защитники,all
40,73,2.8991262907069104,Защитники,all
41,35,1.3899920571882445,Защитники,all
42,39,1.5488482922954727,Защитники,all
43,20,0.7942811755361397,Защитники,all
44,4,0.15885623510722796,Защитники,all
46,3,0.11914217633042098,Защитники,all
